ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/10 14:22:00"
"Settings=E:\Conboy\2025-01-31 Antibody Array\Settings\104sa1_450_33.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\s1-4.14.s1.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5280, 3560"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=26.3878"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.09532"
"Filters=<Empty>"
"ScanRegion=528,356,1636,1264"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5420	3730	150	11894	12445	4535	67	112	67	249	99	98	0	0.000	0.000	0.000	11827	12378	1	0.000	0.000	0.000	0.000	36	222	156	984	100	0	0	0	11827	1941404	49.530	12378	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5820	3740	140	12619	14698	8784	64	67	64	24	100	100	0	0.000	0.000	0.000	12555	14634	2	0.000	0.000	0.000	0.000	59	35	156	1094	100	0	0	0	12555	2292816	609.625	14634	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6240	3710	150	3543	3529	1124	67	70	67	26	100	100	0	0.000	0.000	0.000	3476	3462	3	0.000	0.000	0.000	0.000	31	37	156	1114	100	0	0	0	3476	550539	133.038	3462	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6640	3720	160	3448	3748	1652	65	67	65	24	99	99	0	0.000	0.000	0.000	3383	3683	4	0.000	0.000	0.000	0.000	44	35	208	1308	100	0	0	0	3383	779604	153.375	3683	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6990	3730	140	5712	6059	2218	65	67	65	23	100	100	0	0.000	0.000	0.000	5647	5994	5	0.000	0.000	0.000	0.000	36	34	156	1070	100	0	0	0	5647	945142	260.522	5994	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7390	3730	150	5544	6313	2486	64	66	64	24	100	100	0	0.000	0.000	0.000	5480	6249	6	0.000	0.000	0.000	0.000	39	36	156	1176	100	0	0	0	5480	984775	260.292	6249	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7810	3720	120	62	66	31	63	65	63	23	15	5	0	0.000	0.000	0.000	-1	3	7	0.000	0.000	0.000	0.000	46	35	120	796	100	-50	0	0	-1	7913	0.043	3	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8200	3720	120	60	62	30	60	63	60	24	14	7	0	0.000	0.000	0.000	0	2	8	0.000	0.000	0.000	0.000	48	38	120	796	100	-50	0	0	0	7477	-0.042	2	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8580	3730	160	166	164	48	61	63	61	23	96	87	0	0.000	0.000	0.000	105	103	9	0.000	0.000	0.000	0.000	29	36	208	1344	100	0	0	0	105	34044	4.391	103	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8980	3720	150	181	186	51	63	65	63	24	99	96	0	0.000	0.000	0.000	118	123	10	0.000	0.000	0.000	0.000	27	36	156	1146	100	0	0	0	118	29026	5.042	123	Error	"Not Defined"	"6Ckine "
