ATF	1.0
29	43    
"Type=GenePix Export 3"
"DateTime=2025/02/11 15:33:25"
"Settings=E:\Conboy\2025-02-10\settings\S13-16.4.S14.480.33.Settings.gps"
"GalFile=C:\Documents and Settings\Misha\Desktop\Etsuko_Mice_Array.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=E:\Conboy\2025-02-10\image\s13-16.4.s14.Gain480Power33.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (#1/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=5240, 21160"
"Creator=GenePix Pro 6.1.0.4"
"Scanner=GenePix 4000B [133411]"
"FocusPosition=0"
"Temperature=28.2495"
"LinesAveraged=1"
"Comment="
"PMTGain=480"
"ScanPower=33"
"LaserPower=3.25901"
"Filters=<Empty>"
"ScanRegion=524,2116,1632,3024"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (#1/532)"	"Ratio of Means (#1/532)"	"Median of Ratios (#1/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"Mean of Ratios (#1/532)"	"Ratios SD (#1/532)"	"Rgn Ratio (#1/532)"	"Rgn R2 (#1/532)"	"F532 CV"	"B532 CV"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (#1/532)"	"F532 Total Intensity"	"SNR 532"	"Sum of Means (#1/532)"	"Log Ratio (#1/532)"	"Accession"	"Symbol"
1	1	1	"Positive 1"	"Positive 1"	5420	21330	120	7883	12511	13500	190	201	190	81	100	99	0	0.000	0.000	0.000	7693	12321	1	0.000	0.000	0.000	0.000	107	40	120	810	100	0	0	0	7693	1501302	151.975	12321	Error	"Not Defined"	"Positive 1"
1	2	1	"Positive 1"	"Positive 1"	5820	21330	120	6315	11635	13624	177	222	177	420	99	97	0	0.000	0.000	0.000	6138	11458	2	0.000	0.000	0.000	0.000	117	189	120	810	100	0	0	0	6138	1396145	27.174	11458	Error	"Not Defined"	"Positive 1"
1	3	1	"Positive 2"	"Positive 2"	6240	21310	130	2776	4312	3164	193	197	193	72	100	100	0	0.000	0.000	0.000	2583	4119	3	0.000	0.000	0.000	0.000	73	36	120	872	100	0	0	0	2583	517427	57.153	4119	Error	"Not Defined"	"Positive 2"
1	4	1	"Positive 2"	"Positive 2"	6640	21310	130	2279	5046	6657	183	198	183	130	100	100	0	0.000	0.000	0.000	2096	4863	4	0.000	0.000	0.000	0.000	131	65	120	872	100	0	0	0	2096	605535	37.292	4863	Error	"Not Defined"	"Positive 2"
1	5	1	"Positive 3"	"Positive 3"	6990	21320	120	3324	6557	8961	173	186	173	210	98	97	0	0.000	0.000	0.000	3151	6384	5	0.000	0.000	0.000	0.000	136	112	120	796	100	0	0	0	3151	786862	30.338	6384	Error	"Not Defined"	"Positive 3"
1	6	1	"Positive 3"	"Positive 3"	7390	21320	130	3558	7720	10558	148	150	148	49	100	100	0	0.000	0.000	0.000	3410	7572	6	0.000	0.000	0.000	0.000	136	32	120	894	100	0	0	0	3410	926424	154.490	7572	Error	"Not Defined"	"Positive 3"
1	7	1	"neg"	"neg"	7810	21320	120	85	87	36	136	144	136	91	0	0	0	0.000	0.000	0.000	-51	-49	7	0.000	0.000	0.000	0.000	41	63	120	796	100	-50	0	0	-51	10380	-0.626	-49	Error	"Not Defined"	"neg"
1	8	1	"neg"	"neg"	8210	21320	120	83	92	40	130	135	130	45	4	0	0	0.000	0.000	0.000	-47	-38	8	0.000	0.000	0.000	0.000	43	33	120	796	100	-50	0	0	-47	10991	-0.956	-38	Error	"Not Defined"	"neg"
1	9	1	"6Ckine "	"6Ckine "	8570	21310	130	241	250	71	138	140	138	48	80	53	0	0.000	0.000	0.000	103	112	9	0.000	0.000	0.000	0.000	28	34	120	872	100	0	0	0	103	30050	2.292	112	Error	"Not Defined"	"6Ckine "
1	10	1	"6Ckine "	"6Ckine "	8980	21320	140	299	371	798	140	164	140	465	1	0	0	0.000	0.000	0.000	159	231	10	0.000	0.000	0.000	0.000	215	283	156	1044	100	0	0	0	159	57920	0.445	231	Error	"Not Defined"	"6Ckine "
1	11	1	"Activin A "	"Activin A "	9400	21310	140	873	1102	605	141	196	141	698	51	19	0	0.000	0.000	0.000	732	961	11	0.000	0.000	0.000	0.000	54	356	156	1016	100	0	0	0	732	171918	1.298	961	Error	"Not Defined"	"Activin A "
1	12	1	"Activin A "	"Activin A "	9800	21310	130	909	961	286	113	117	113	44	100	100	0	0.000	0.000	0.000	796	848	12	0.000	0.000	0.000	0.000	29	37	120	872	100	0	0	0	796	115347	19.182	848	Error	"Not Defined"	"Activin A "
1	13	1	"Activin C"	"Activin C"	10250	21320	130	196	195	61	117	119	117	39	71	50	0	0.000	0.000	0.000	79	78	13	0.000	0.000	0.000	0.000	31	32	120	894	100	0	0	0	79	23384	1.949	78	Error	"Not Defined"	"Activin C"
1	14	1	"Activin C"	"Activin C"	10660	21320	140	191	196	62	114	120	114	79	48	7	0	0.000	0.000	0.000	77	82	14	0.000	0.000	0.000	0.000	31	65	156	1044	100	0	0	0	77	30621	0.962	82	Error	"Not Defined"	"Activin C"
1	15	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	10980	21320	150	214	221	59	118	124	118	45	86	53	0	0.000	0.000	0.000	96	103	15	0.000	0.000	0.000	0.000	26	36	156	1146	100	0	0	0	96	34460	2.156	103	Error	"Not Defined"	"Activin RIB / ALK-4"
1	16	1	"Activin RIB / ALK-4"	"Activin RIB / ALK-4"	11380	21310	160	240	254	90	125	129	125	43	87	65	0	0.000	0.000	0.000	115	129	16	0.000	0.000	0.000	0.000	35	33	208	1272	100	0	0	0	115	52879	2.907	129	Error	"Not Defined"	"Activin RIB / ALK-4"
1	17	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	11810	21330	140	349	370	155	130	135	130	44	96	83	0	0.000	0.000	0.000	219	240	17	0.000	0.000	0.000	0.000	41	32	156	1070	100	0	0	0	219	57663	5.341	240	Error	"Not Defined"	"Adiponectin / Acrp30"
1	18	1	"Adiponectin / Acrp30"	"Adiponectin / Acrp30"	12210	21320	140	525	530	225	149	156	149	61	92	87	0	0.000	0.000	0.000	376	381	18	0.000	0.000	0.000	0.000	42	39	156	1044	100	0	0	0	376	82707	6.131	381	Error	"Not Defined"	"Adiponectin / Acrp30"
1	19	1	"AgRP"	"AgRP"	12630	21310	150	447	542	350	143	152	143	58	97	91	0	0.000	0.000	0.000	304	399	19	0.000	0.000	0.000	0.000	64	38	156	1114	100	0	0	0	304	84491	6.724	399	Error	"Not Defined"	"AgRP"
1	20	1	"AgRP"	"AgRP"	13040	21310	150	768	1620	2769	143	148	143	57	98	97	0	0.000	0.000	0.000	625	1477	20	0.000	0.000	0.000	0.000	170	38	156	1114	100	0	0	0	625	252758	25.825	1477	Error	"Not Defined"	"AgRP"
1	21	1	"ALCAM"	"ALCAM"	13390	21330	140	204	230	106	123	125	123	39	76	52	0	0.000	0.000	0.000	81	107	21	0.000	0.000	0.000	0.000	46	31	156	1070	100	0	0	0	81	35901	2.692	107	Error	"Not Defined"	"ALCAM"
1	22	1	"ALCAM"	"ALCAM"	13790	21330	140	253	262	96	117	121	117	38	89	72	0	0.000	0.000	0.000	136	145	22	0.000	0.000	0.000	0.000	36	31	156	1070	100	0	0	0	136	40884	3.711	145	Error	"Not Defined"	"ALCAM"
1	23	1	"Angiopoietin-like 2"	"Angiopoietin-like 2"	14210	21320	140	854	889	336	121	126	121	46	99	99	0	0.000	0.000	0.000	733	768	23	0.000	0.000	0.000	0.000	37	36	156	1044	100	0	0	0	733	138744	16.587	768	Error	"Not Defined"	"Angiopoietin-like 2"
1	24	1	"Angiopoietin-like 2"	"Angiopoietin-like 2"	14610	21320	140	1035	1043	284	120	124	120	42	100	98	0	0.000	0.000	0.000	915	923	24	0.000	0.000	0.000	0.000	27	33	156	1044	100	0	0	0	915	162694	21.881	923	Error	"Not Defined"	"Angiopoietin-like 2"
1	25	1	"Angiopoietin-like 3"	"Angiopoietin-like 3"	14960	21320	150	197	213	83	132	139	132	54	58	25	0	0.000	0.000	0.000	65	81	25	0.000	0.000	0.000	0.000	38	38	156	1146	100	0	0	0	65	33275	1.370	81	Error	"Not Defined"	"Angiopoietin-like 3"
1	26	1	"Angiopoietin-like 3"	"Angiopoietin-like 3"	15370	21320	140	226	244	129	140	147	140	84	51	14	0	0.000	0.000	0.000	86	104	26	0.000	0.000	0.000	0.000	52	57	156	1044	100	0	0	0	86	37993	1.155	104	Error	"Not Defined"	"Angiopoietin-like 3"
